energy,intensity,InitialState,FinalState,alpha,gamma
427.90,8.5e-05,1510.79_152Sm,1082.88_152Sm,0,1
440.86,0.0062,1550.17_152Gd,1109.20_152Gd,0.0196,1
443.96,2.827,1529.80_152Sm,1085.84_152Sm,0.00598,1
443.96,0.021,810.44_152Sm,366.45_152Sm,0.01772,1
444.01,0.298,810.45_152Sm,366.48_152Sm,0.01772,1
464.28,0.00045,1757.00_152Sm,1292.75_152Sm,0,1
469.97,0.00055,1510.79_152Sm,1041.11_152Sm,0,1
476.42,0.0017,1769.13_152Sm,1292.75_152Sm,0,1
482.33,0.0247,1292.75_152Sm,810.45_152Sm,0.062,1
482.40,0.00234,1605.60_152Gd,1123.19_152Gd,0.00511,1
488.68,0.414,1529.80_152Sm,1041.12_152Sm,0.01392,1
493.54,0.0303,1579.43_152Sm,1085.84_152Sm,0.00444,1
493.78,0.0098,1109.20_152Gd,615.41_152Gd,0.01442,1
496.40,0.00588,1605.60_152Gd,1109.20_152Gd,0.02,1
496.56,0.0058,1730.21_152Sm,1233.86_152Sm,0.00438,1
503.47,0.1524,1434.02_152Gd,930.55_152Gd,0.0137,1
514.78,0.00043,1221.67_152Sm,706.91_152Sm,0,1
520.24,0.0534,1643.42_152Gd,1123.19_152Gd,0.018,1
523.13,0.0153,1757.00_152Sm,1233.86_152Sm,0.015,1
526.88,0.012,1282.24_152Gd,755.40_152Gd,0.017,1
527.10,0.0001861,1612.88_152Sm,1085.84_152Sm,0,1
534.25,0.041,1643.42_152Gd,1109.20_152Gd,0.00407,1
535.44,0.00173,1769.13_152Sm,1233.86_152Sm,0,1
538.29,0.0043,1579.43_152Sm,1041.12_152Sm,0.014,1
547.36,0.0095,1510.79_152Sm,963.40_152Sm,0.014,1
556.48,0.0177,1579.43_152Sm,1022.97_152Sm,0.0034,1
557.80,0.0029,1605.60_152Gd,1047.81_152Gd,0.01051,1
561.26,0.00141,1371.72_152Sm,810.45_152Sm,0.00949,1
562.98,0.0202,684.69_152Sm,121.78_152Sm,0.00941,1
562.98,0.22,684.76_152Sm,121.78_152Sm,0.00941,1
563.10,3e-04,1318.46_152Gd,755.40_152Gd,0,1
563.99,0.494,1649.83_152Sm,1085.84_152Sm,0.0033,1
566.44,0.131,1529.80_152Sm,963.36_152Sm,0.0134,1
571.83,0.00444,1612.88_152Sm,1041.12_152Sm,0,1
586.26,0.455,930.55_152Gd,344.28_152Gd,0.013,1
586.36,0.0127,930.63_152Gd,344.29_152Gd,0,1
588.60,0.0024,1822.03_152Sm,1233.86_152Sm,0,1
589.83,0.0013,1612.88_152Sm,1022.97_152Sm,0,1
594.70,0.00034,1680.55_152Sm,1086.10_152Sm,0,1
597.50,0.00069,1680.55_152Sm,1082.88_152Sm,0,1
608.06,0.00027,1292.75_152Sm,684.69_152Sm,0,1
609.23,0.00122,1649.83_152Sm,1041.12_152Sm,0,1
616.05,0.0092,1579.43_152Sm,963.36_152Sm,0.0075,1
632.80,0.0011,1756.04_152Gd,1123.13_152Gd,0,1
639.15,0.00051,1680.55_152Sm,1041.11_152Sm,0,1
644.39,0.0066,1730.21_152Sm,1085.84_152Sm,0.00248,1
646.90,7e-04,1756.04_152Gd,1109.10_152Gd,0,1
656.49,0.1441,1022.97_152Sm,366.48_152Sm,0.0568,1
664.77,0.0099,1371.72_152Sm,706.91_152Sm,0.00623,1
671.15,0.024,1757.00_152Sm,1085.84_152Sm,0,1
674.46,0.00036,1041.11_152Sm,366.45_152Sm,0,1
674.64,0.169,1041.12_152Sm,366.48_152Sm,0.00225,1
675.00,0.0213,1605.60_152Gd,930.55_152Gd,0.0075,1
678.62,0.473,1434.02_152Gd,755.40_152Gd,0.0068,1
683.25,0.0047,1769.13_152Sm,1085.84_152Sm,0,1
686.60,0.0203,1649.83_152Sm,963.36_152Sm,0.0078,1
688.67,0.856,810.45_152Sm,121.78_152Sm,0.0409,1
688.68,0.065,810.44_152Sm,121.78_152Sm,0.0077,1
699.28,0.071,1314.62_152Gd,615.37_152Gd,0,1
700.28,0.0103,1510.79_152Sm,810.44_152Sm,0.00208,1
